,Title,Link,Description
0,AI Act : que contient le texte européen pour réguler les usages de l’IA ?,https://www.blogdumoderateur.com/ai-act-texte-europeen-reguler-usages-ia/,IA
1,6 tendances social media pour gérer vos réseaux sociaux en 2024,https://www.blogdumoderateur.com/6-tendances-social-media-2024/,Tendances
2,"Du Virtual Boy au Nokia N-Gage, retour sur les plus grands échecs de la tech",https://www.blogdumoderateur.com/virtual-boy-nokia-n-gage-retour-plus-grands-echecs-tech/,Culture web
3,Comment l’IA peut favoriser l’inclusion des personnes en situation de handicap,https://www.blogdumoderateur.com/comment-ia-peut-favoriser-inclusion-personnes-situation-handicap/,IA
4,IA faible ou IA forte : quelle est la différence ?,https://www.blogdumoderateur.com/ia-faible-ia-forte-quelle-difference/,IA
5,Meta dévoile un nouveau générateur d’images par IA : ce qu’il faut savoir,https://www.blogdumoderateur.com/meta-devoile-nouveau-generateur-images-ia/,IA
6,Community manager : une formation certifiante avec un cycle de masterclass sur ChatGPT,https://www.blogdumoderateur.com/community-manager-formation-certifiante-cycle-masterclass-chatgpt/,Formation
7,Le classement des 50 outils IA les plus visités en 2023,https://www.blogdumoderateur.com/classement-50-outils-ia-visites-2023/,IA
8,ChatGPT : 5 domaines bouleversés par l’IA générative depuis 1 an,https://www.blogdumoderateur.com/chatgpt-5-domaines-bouleverses-depuis-1-an/,IA
9,"Pika, un générateur de vidéos par IA au potentiel impressionnant",https://www.blogdumoderateur.com/pika-generateur-videos-ia/,IA
10,"Amazon dévoile Q, son assistant IA pour les entreprises : découvrez les premières images",https://www.blogdumoderateur.com/amazon-devoile-q-assistant-ia-entreprises/,Amazon
11,"Optimiser l’expérience utilisateur grâce à la data, au digital et à l’IA : la méthode de Rexel",https://www.blogdumoderateur.com/optimiser-experience-utilisateur-data-digital-ia-methode-rexel/,Recrutement
12,"Le Black Friday bat un nouveau record : 70,9 milliards de dollars de ventes dans le monde",https://www.blogdumoderateur.com/black-friday-2023-record-ventes-monde/,E-commerce
13,Design et IA : les 10 prédictions de Venngage pour 2024,https://www.blogdumoderateur.com/design-ia-10-predictions-venngage-2024/,Design
14,"Protéger les mineurs, un défi majeur pour les plateformes sociales",https://www.blogdumoderateur.com/proteger-mineurs-defi-majeur-plateformes-sociales/,Interviews
